pnode_id,pnode_name,pnode_type,pnode_subtype,zone,voltage_level,effective_date,termination_date
510441,CHR138  12 KV   G14,BUS,GEN,DPL,12 KV,10/19/2000 0:00,12/31/9999 0:00
510443,DELA DPL13 KV   G1,BUS,GEN,DPL,13 KV,10/19/2000 0:00,12/31/9999 0:00
510444,DELA DPL13 KV   G2,BUS,GEN,DPL,13 KV,10/19/2000 0:00,12/31/9999 0:00
510445,MOTIVA  13 KV   G6,BUS,GEN,DPL,13 KV,10/19/2000 0:00,12/31/9999 0:00
510446,MOTIVA  13 KV   G7,BUS,GEN,DPL,13 KV,10/19/2000 0:00,12/31/9999 0:00
615760,BERLIN DPL,AGGREGATE,AGGREGATE,,,1/1/2000 0:00,12/31/9999 0:00
659700,BLUEGRAS13 KV   1BUS,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659701,BLUEGRAS13 KV   2BUS,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659702,BLUEGRAS13 KV   3BUS,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659703,BLUEGRAS13 KV   4BUS,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659704,BLUEGRAS13 KV   5BUS,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659705,BLUEGRAS13 KV   6BUS,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659706,CALLOWHI13 KV   2BUS,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659707,CALLOWHI13 KV   3BUS,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659708,CALLOWHI13 KV   5BUS,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659709,CALLOWHI13 KV   6BUS,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659710,CALLOWHI13 KV   8BUS,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659711,CALLOWHI13 KV   9BUS,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659712,CEDARBRO13 KV   BU12,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659713,ELMWOOD 13 KV   4BUS,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659714,ELMWOOD 13 KV   5BUS,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659715,ELMWOOD 13 KV   6BUS,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659716,FOXCHASE13 KV   NBU5,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659717,HOLMESBU13 KV   11BU,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659718,HOLMESBU13 KV   12BU,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659719,HOLMESBU13 KV   13BU,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659720,LOMBARD 13 KV   NBU4,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659721,MOSER   35 KV   1BUS,BUS,LOAD,PECO,35 KV,12/14/2000 0:00,12/31/9999 0:00
659722,MOSER   35 KV   3BUS,BUS,LOAD,PECO,35 KV,12/14/2000 0:00,12/31/9999 0:00
